ticker,name,category,display,technical_score,technical_tier,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,double_bottom,double_bottom_conf,inverse_hs,inverse_hs_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,roe,pl,pvp,rank
MLAS3,GRUPO MULTI S.A.,BR_STOCK,MLAS3,16.12,S,3.0,OK,1.58,1.38,1.28,1.21,1362276.04,False,0.0,False,0.0,True,0.85,True,0.85,True,0.9,True,False,0.82,1.65,4.16,10.533333,0.42981502,1
HAGA4,HAGA S.A. INDUSTRIA E COMERCIO,BR_STOCK,HAGA4,16.02,S,2.0,Fraco,1.71,1.48,1.26,1.24,294633.01,True,0.44,False,0.0,False,0.0,True,0.7,True,0.65,True,True,23.41,1.7,0.0,9.5,-0.4049254,2
MUTC34,MUTC34,BDR,MU (BDR: MUTC34),15.7,S,4.0,Forte,666.59,437.91,336.07,284.57,35133348615.83,False,0.0,False,0.0,False,0.0,True,0.85,True,0.75,True,False,1.23,651.74,39.823002,31.457764,10.377042,3
V1OD34,V1OD34,BDR,VOD (BDR: V1OD34),15.6,S,2.0,Fraco,16.13,15.16,13.64,13.06,56263888.83,False,0.0,False,0.0,True,0.8,False,0.0,True,0.8,True,False,0.77,16.22,-6.616,999.0,6.467346,4
TXSA34,TXSA34,BDR,TX (BDR: TXSA34),15.5,S,1.0,Fraco,48.42,41.16,39.62,38.0,51692270.07,False,0.0,False,0.0,True,1.0,False,0.0,True,0.5,True,True,3.26,44.44,1.8780000000000001,22.00909,0.7957925,5
ITLC34,ITLC34,BDR,INTC (BDR: ITLC34),15.5,S,2.0,Fraco,113.01,59.27,47.0,41.4,17443040489.01,False,0.0,False,0.0,False,0.0,True,0.7,True,0.8,True,False,0.89,110.48,-2.911,999.0,4.938385,6
V1RT34,V1RT34,BDR,VRT (BDR: V1RT34),15.5,S,4.0,Forte,358.92,281.57,215.08,195.15,1995449194.21,False,0.0,False,0.0,False,0.0,True,0.85,True,0.9,True,False,0.9,341.12,45.097,89.95489,34.836456,7
DEAI34,DEAI34,BDR,DAL (BDR: DEAI34),15.5,S,3.0,OK,73.34,66.28,65.38,63.44,696432864.88,False,0.0,False,0.0,True,1.0,True,0.7,True,0.55,True,False,1.25,75.02,24.990000000000002,10.706569,2.3519223,8
USIM3,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,BR_STOCK,USIM3,15.4,S,2.0,Fraco,8.33,6.96,6.06,5.65,7187956.93,False,0.0,False,0.0,False,0.0,True,0.7,True,1.0,True,False,1.12,8.33,-9.325,999.0,0.49928075,9
ABUD34,ABUD34,BDR,BUD (BDR: ABUD34),15.33,S,3.0,OK,82.09,73.47,68.25,66.56,242611566.24,False,0.0,False,0.0,True,0.85,True,0.7,True,0.65,True,False,1.32,81.6,0.0,22.739613,10.985739,10
TSNF34,TSNF34,BDR,TSN (BDR: TSNF34),15.3,S,3.0,OK,68.09,63.34,59.05,57.81,176229234.81,False,0.0,False,0.0,True,0.8,True,0.7,True,0.7,True,False,0.82,69.48,2.619,53.61417,1.3301426,11
S1TX34,S1TX34,BDR,STX (BDR: S1TX34),15.3,S,3.0,OK,786.42,481.53,360.46,314.32,4276457496.67,False,0.0,False,0.0,False,0.0,True,0.7,True,0.7,True,False,0.98,792.01,1787.97,74.47159,373.77374,12
A1MT34,A1MT34,BDR,AMAT (BDR: A1MT34),15.3,S,3.0,OK,428.62,371.53,303.82,272.18,3093199630.52,False,0.0,False,0.0,False,0.0,True,0.85,True,0.8,True,False,1.2,420.5,38.863,44.00616,15.663074,13
USIM5,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,BR_STOCK,USIM5,15.3,S,2.0,Fraco,8.74,7.03,6.11,5.66,175802473.4,False,0.0,False,0.0,False,0.0,True,0.85,True,0.8,True,False,1.28,8.65,-9.325,999.0,0.52385515,14
CATP34,CATP34,BDR,CAT (BDR: CATP34),15.2,S,3.0,OK,926.93,757.75,651.47,596.17,2435473332.42,False,0.0,False,0.0,False,0.0,True,0.85,True,0.75,True,False,1.02,908.9,51.331,46.161854,23.01788,15
W1DC34,W1DC34,BDR,WDC (BDR: W1DC34),15.2,S,4.0,Forte,483.15,328.13,233.82,196.85,3993646826.5,False,0.0,False,0.0,False,0.0,True,0.7,True,0.65,True,False,0.92,480.11,85.920995,28.931135,23.100645,16
M2PR34,M2PR34,BDR,MPWR (BDR: M2PR34),15.2,S,4.0,Forte,1652.35,1260.91,1092.28,1025.97,1316212420.05,False,0.0,False,0.0,False,0.0,True,0.7,True,0.9,True,False,1.14,1661.79,19.573999999999998,118.19385,22.790405,17
R2RX34,R2RX34,BDR,RRX (BDR: R2RX34),15.2,S,3.0,OK,231.37,200.88,170.25,164.13,507681760.83,False,0.0,False,0.0,False,0.0,True,0.7,True,0.9,True,True,2.05,224.98,4.279999999999999,55.088097,2.244698,18
TSMC34,TSMC34,BDR,TSM (BDR: TSMC34),15.2,S,4.0,Forte,419.5,361.78,327.1,306.74,7397889631.5,False,0.0,False,0.0,False,0.0,True,0.7,True,0.9,True,False,1.27,414.5,36.21,36.16379,64.1697,19
I1EX34,I1EX34,BDR,IEX (BDR: I1EX34),15.12,S,3.0,OK,218.19,200.02,186.95,181.21,105185254.57,False,0.0,False,0.0,True,0.85,True,0.55,True,0.7,True,False,0.66,223.85,12.748000000000001,32.324444,4.041454,20
J2AZ34,J2AZ34,BDR,JAZZ (BDR: J2AZ34),15.1,S,2.0,Fraco,228.57,192.56,169.81,157.94,485277896.83,False,0.0,False,0.0,False,0.0,True,0.7,True,0.85,True,True,2.46,212.57,-8.466999999999999,2077.9092,3.2515829,21
A1DI34,A1DI34,BDR,ADI (BDR: A1DI34),15.1,S,3.0,OK,415.63,346.08,297.3,282.39,1584922313.25,False,0.0,False,0.0,False,0.0,True,0.7,True,0.85,True,False,1.19,408.37,7.861999999999999,76.12271,6.005606,22
I1HG34,I1HG34,BDR,IHG (BDR: I1HG34),15.1,S,2.0,Fraco,145.56,136.78,134.01,130.19,23730791.96,False,0.0,False,0.0,True,1.0,True,0.7,True,0.85,True,False,0.73,148.38,0.0,29.889118,-47.94899,23
O2NS34,O2NS34,BDR,ON (BDR: O2NS34),15.1,S,2.0,Fraco,105.77,72.57,61.39,58.82,2300475955.68,False,0.0,False,0.0,False,0.0,True,0.85,True,0.7,True,False,1.56,105.81,7.4939995999999995,77.77206,5.4686933,24
VBBR3,VIBRA ENERGIA S.A.,BR_STOCK,VBBR3,15.1,S,3.0,OK,32.83,31.43,26.9,25.19,224045064.5,False,0.0,False,0.0,False,0.0,True,0.55,True,1.0,True,False,1.22,34.2,9.624,18.44382,1.8998843,25
M2RV34,M2RV34,BDR,MRVL (BDR: M2RV34),15.1,S,4.0,Forte,172.15,115.19,95.15,89.76,3971335439.5,False,0.0,False,0.0,False,0.0,True,0.7,True,0.85,True,False,0.91,172.98,19.253999,56.074917,10.194232,26
ASML34,ASML34,BDR,ASML (BDR: ASML34),15.1,S,4.0,Forte,1544.74,1397.36,1236.77,1123.29,3550232666.84,False,0.0,False,0.0,True,0.8,True,0.55,False,0.0,True,False,1.42,1528.64,52.236000000000004,50.981518,1354.1583,27
M1CH34,M1CH34,BDR,MCHP (BDR: M1CH34),15.1,S,2.0,Fraco,102.92,73.71,68.68,67.74,1333464945.28,False,0.0,False,0.0,False,0.0,True,1.0,True,0.55,True,False,1.16,99.08,-1.0930001,999.0,8.489648,28
C2CA34,C2CA34,BDR,KOF (BDR: C2CA34),15.03,S,3.0,OK,106.95,100.77,95.84,92.82,13149181.27,False,0.0,False,0.0,True,0.85,True,0.7,True,1.0,True,False,0.59,108.28,15.825,999.0,2.6708012,29
FMXB34,FMXB34,BDR,KOF (BDR: FMXB34),15.03,S,3.0,OK,106.95,100.77,95.84,92.82,13149181.27,False,0.0,False,0.0,True,0.85,True,0.7,True,1.0,True,False,0.59,108.28,15.825,999.0,2.6708012,30
BIIB34,BIIB34,BDR,BIIB (BDR: BIIB34),15.03,S,3.0,OK,190.68,184.38,175.05,165.4,141359659.17,False,0.0,False,0.0,True,0.85,True,0.55,True,0.65,True,False,0.67,195.98,7.7010006,20.481201,1.5089382,31
ORVR3,ORIZON VALORIZACAO DE RESIDUOS S.A.,BR_STOCK,ORVR3,15.0,S,1.0,Fraco,83.2,74.01,67.23,63.48,63789437.66,False,0.0,False,0.0,False,0.0,True,0.85,True,0.65,True,False,1.42,84.9,6.099,108.05195,5.545927,32
L1RC34,L1RC34,BDR,LRCX (BDR: L1RC34),15.0,S,4.0,Forte,297.17,239.1,199.77,176.59,4317872271.51,False,0.0,False,0.0,False,0.0,True,0.85,True,0.65,True,False,1.45,280.0,66.762,56.069813,35.10988,33
C2GN34,C2GN34,BDR,CGNX (BDR: C2GN34),15.0,S,3.0,OK,62.26,52.61,45.25,44.51,417890852.01,False,0.0,False,0.0,False,0.0,True,0.85,True,0.65,True,True,3.56,58.9,7.606,91.55882,6.9688826,34
M2KS34,M2KS34,BDR,MKSI (BDR: M2KS34),15.0,S,2.0,Fraco,293.77,249.83,200.02,176.74,535012435.14,False,0.0,False,0.0,False,0.0,True,0.7,True,0.8,True,False,1.42,298.0,11.704001,67.22426,7.260572,35
S2GM34,S2GM34,BDR,SGML (BDR: S2GM34),14.9,S,0.0,Fraco,22.85,15.45,12.02,10.54,103900711.18,False,0.0,False,0.0,False,0.0,True,0.55,True,0.65,True,False,1.74,23.46,-67.376,999.0,44.980316,36
IBKR34,IBKR34,BDR,IBKR (BDR: IBKR34),14.9,S,3.0,OK,87.04,72.41,70.29,68.67,336980760.02,False,0.0,False,0.0,True,1.0,True,0.7,True,0.75,True,False,0.85,84.63,23.56,37.517242,6.942096,37
A1MD34,A1MD34,BDR,AMD (BDR: A1MD34),14.9,S,3.0,OK,421.39,245.53,230.95,214.6,35922147772.39,False,0.0,False,0.0,False,0.0,True,0.7,True,0.75,True,True,1.71,362.79,7.081999999999999,162.69885,10.902717,38
