ticker,name,category,display,technical_score,technical_tier,technical_score_weekly,technical_tier_weekly,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,double_bottom,double_bottom_conf,inverse_hs,inverse_hs_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,vcp_weekly,wedge_weekly,cup_handle_weekly,double_bottom_weekly,inverse_hs_weekly,pre_breakout_weekly,breakout_weekly,roe,pl,pvp,rank
ARNC34,ARNC34,BDR,HWM (BDR: ARNC34),16.7,S,2.0,C,4.0,Forte,272.54,245.67,221.11,211.39,1395662121.52,False,0.0,False,0.0,True,1.0,True,0.5,True,0.6,True,True,2.16,259.82,False,False,False,False,False,True,False,30.442999999999998,73.26344,20.447145,1
DEAI34,DEAI34,BDR,DAL (BDR: DEAI34),15.4,S,3.3,C,3.0,OK,73.11,66.36,65.5,63.53,530132531.36,False,0.0,False,0.0,True,1.0,True,0.65,True,0.55,True,False,0.93,75.02,False,False,False,True,False,True,False,24.990000000000002,10.672993,2.3445468,2
S2GM34,S2GM34,BDR,SGML (BDR: S2GM34),15.4,S,2.0,C,0.0,Fraco,23.65,15.59,12.13,10.62,67148923.62,False,0.0,False,0.0,False,0.0,True,0.8,True,0.65,True,False,1.01,23.46,False,False,False,False,False,True,False,-67.376,999.0,46.555115,3
J2AZ34,J2AZ34,BDR,JAZZ (BDR: J2AZ34),15.3,S,3.5,C,1.0,Fraco,226.96,193.16,170.41,158.49,249139673.37,False,0.0,False,0.0,False,0.0,True,0.8,True,0.85,True,False,1.13,230.4,False,False,False,False,True,True,False,0.676,2063.2727,3.2286794,4
USIM3,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,BR_STOCK,USIM3,15.3,S,1.8,C,2.0,Fraco,8.44,7.0,6.09,5.68,4429311.78,False,0.0,False,0.0,False,0.0,True,0.65,True,1.0,True,False,0.68,8.59,False,False,False,False,True,False,False,-9.325,999.0,0.50587386,5
ABUD34,ABUD34,BDR,BUD (BDR: ABUD34),15.23,S,2.0,C,3.0,OK,80.25,73.5,68.39,66.61,121250768.25,False,0.0,False,0.0,True,0.85,True,0.65,True,0.65,True,False,0.63,82.91,False,False,False,False,False,True,False,0.0,22.229918,10.7395,6
TSNF34,TSNF34,BDR,TSN (BDR: TSNF34),15.2,S,3.7,C,3.0,OK,67.94,63.46,59.14,57.88,124674184.7,False,0.0,False,0.0,True,0.8,True,0.65,True,0.7,True,False,0.58,69.48,False,False,False,False,True,True,False,2.619,53.496067,1.3272125,7
USIM5,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,BR_STOCK,USIM5,15.2,S,3.6,C,2.0,Fraco,8.81,7.07,6.14,5.68,73804897.52,False,0.0,False,0.0,False,0.0,True,0.8,True,0.8,True,False,0.5,8.98,False,False,False,False,True,True,False,-9.325,999.0,0.52805084,8
T1WL34,T1WL34,BDR,TWLO (BDR: T1WL34),15.1,S,3.8,C,3.0,OK,197.07,136.14,127.62,123.07,509133122.9,False,0.0,False,0.0,False,0.0,True,0.65,True,0.9,True,False,0.75,200.0,False,False,False,False,True,True,False,1.317,303.18463,3.858897,9
TSMC34,TSMC34,BDR,TSM (BDR: TSMC34),15.1,S,2.0,C,4.0,Forte,414.15,362.33,327.95,307.65,5518668358.02,False,0.0,False,0.0,False,0.0,True,0.65,True,0.9,True,False,0.95,419.7,False,False,False,False,False,True,False,36.21,35.518867,63.351322,10
