ticker,name,category,display,technical_score,technical_tier,technical_score_weekly,technical_tier_weekly,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge_or_trend,wedge_or_trend_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,double_bottom,double_bottom_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,vcp_weekly,wedge_or_trend_weekly,wedge_weekly,cup_handle_weekly,double_bottom_weekly,pre_breakout_weekly,breakout_weekly,roe,pl,pvp,rank
H1AS34,H1AS34,BDR,HAS (BDR: H1AS34),15.61,S,0.5,C,1.0,Fraco,97.78,93.82,86.81,84.17,110383840.62,True,0.56,False,0.0,False,0.0,True,0.85,True,0.65,True,False,0.78,99.2,False,False,False,False,False,False,False,-36.355,999.0,25.490093,1
ARNC34,ARNC34,BDR,HWM (BDR: ARNC34),15.5,S,2.0,C,4.0,Forte,270.56,245.77,221.54,211.72,862139432.22,False,0.0,False,0.0,False,0.0,True,1.0,True,0.5,True,False,1.18,280.62,False,False,False,False,False,True,True,33.818,62.920925,20.298595,2
DDNB34,DDNB34,BDR,DD (BDR: DDNB34),15.43,S,0.5,C,2.0,Fraco,49.76,46.33,42.52,39.68,196890361.36,False,0.0,False,0.0,False,0.0,True,0.85,True,0.65,True,False,1.02,50.3,False,False,False,False,False,False,False,0.8959999999999999,130.94737,1.4526346,3
ASML34,ASML34,BDR,ASML (BDR: ASML34),15.0,S,2.0,C,4.0,Forte,1592.02,1399.86,1244.01,1131.77,3638720956.64,False,0.0,False,0.0,False,0.0,True,0.8,True,0.5,True,False,1.45,1550.0,False,False,False,False,False,True,False,52.236000000000004,52.35186,1387.794,4
DEAI34,DEAI34,BDR,DAL (BDR: DEAI34),14.3,S,3.3,C,3.0,OK,73.33,66.42,65.61,63.62,371856439.29,False,0.0,False,0.0,False,0.0,True,1.0,True,0.65,True,False,0.65,75.02,False,False,False,False,True,True,False,24.990000000000002,10.70511,2.3516018,5
MUTC34,MUTC34,BDR,MU (BDR: MUTC34),14.1,S,2.0,C,4.0,Forte,746.81,448.89,342.92,290.45,48128244973.66,False,0.0,False,0.0,False,0.0,False,0.0,True,0.8,True,False,1.44,683.09,False,False,False,False,False,True,True,39.823002,35.209335,11.625543,6
V1OD34,V1OD34,BDR,VOD (BDR: V1OD34),14.0,S,2.0,C,2.0,Fraco,16.2,15.17,13.7,13.11,71429043.36,False,0.0,False,0.0,False,0.0,True,0.8,False,0.0,True,False,0.91,16.22,False,False,False,False,False,True,False,-6.616,999.0,6.4954133,7
ABUD34,ABUD34,BDR,BUD (BDR: ABUD34),13.93,S,2.0,C,3.0,OK,79.89,72.46,67.53,65.69,102930275.21,False,0.0,False,0.0,False,0.0,True,0.85,True,0.65,True,False,0.53,81.7,False,False,False,False,False,True,False,0.0,22.130194,10.691322,8
W1DC34,W1DC34,BDR,WDC (BDR: W1DC34),13.8,S,2.0,C,4.0,Forte,480.0,335.55,238.37,200.89,3785184000.0,False,0.0,False,0.0,False,0.0,False,0.0,True,0.65,True,False,0.86,483.87,False,False,False,False,False,True,False,85.920995,28.742813,22.950274,9
A1MD34,A1MD34,BDR,AMD (BDR: A1MD34),13.8,S,2.0,C,3.0,OK,455.19,254.51,234.48,217.35,26282215550.96,False,0.0,False,0.0,False,0.0,False,0.0,True,0.65,True,False,1.08,430.6,False,False,False,False,False,True,True,8.062999999999999,151.73,11.777231,10
