ticker,name,category,display,technical_score,technical_tier,technical_score_weekly,technical_tier_weekly,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge_or_trend,wedge_or_trend_conf,rasb_trend,rasb_trend_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,vcp_weekly,wedge_or_trend_weekly,rasb_trend_weekly,wedge_weekly,cup_handle_weekly,pre_breakout_weekly,breakout_weekly,roe,pl,pvp,rank
ARNC34,ARNC34,BDR,HWM (BDR: ARNC34),14.8,S,2.0,C,4.0,Forte,273.58,246.0,222.1,212.15,747544728.63,False,0.0,False,0.0,True,0.8,False,0.0,True,1.0,True,False,0.95,280.62,False,False,False,False,False,True,False,33.818,63.62325,20.52517,1
G1WW34,G1WW34,BDR,GWW (BDR: G1WW34),14.45,S,2.0,C,4.0,Forte,1226.09,1126.7,1053.71,1036.2,233017171.91,False,0.0,False,0.0,True,0.7,False,0.0,True,1.0,True,False,0.62,1286.56,False,False,False,False,False,True,False,46.129,33.021545,14.734002,2
I1EX34,I1EX34,BDR,IEX (BDR: I1EX34),14.45,S,2.0,C,3.0,OK,214.01,200.43,187.98,181.7,107558213.09,False,0.0,False,0.0,True,0.7,False,0.0,True,1.0,True,False,0.61,223.85,False,False,False,False,False,True,False,12.748000000000001,31.61152,3.964029,3
T1EV34,T1EV34,BDR,TEVA (BDR: T1EV34),14.25,S,2.0,C,3.0,OK,35.84,31.49,29.26,26.46,168635802.32,False,0.0,False,0.0,True,0.75,False,0.0,True,0.85,True,False,0.46,36.99,False,False,False,False,False,True,False,21.599,26.746267,5.0721765,4
DDNB34,DDNB34,BDR,DD (BDR: DDNB34),14.25,S,2.0,C,2.0,Fraco,50.58,46.34,42.64,39.78,206187860.06,False,0.0,False,0.0,True,0.75,False,0.0,True,0.85,True,False,1.02,50.3,False,False,False,False,False,True,False,0.8959999999999999,133.10527,1.4765728,5
SLBG34,SLBG34,BDR,SLB (BDR: SLBG34),14.25,S,2.0,C,2.0,Fraco,54.93,51.22,44.27,41.7,520270102.12,False,0.0,False,0.0,True,0.75,False,0.0,True,0.85,True,False,0.76,57.2,False,False,False,False,False,True,False,14.066,24.198238,3.0022957,6
TSNF34,TSNF34,BDR,TSN (BDR: TSNF34),14.12,S,2.0,C,3.0,OK,67.08,63.61,59.33,58.03,172153177.58,False,0.0,False,0.0,True,0.75,False,0.0,True,0.8,True,False,0.8,69.48,False,False,False,False,False,True,False,2.619,52.8189,1.3104123,7
ASML34,ASML34,BDR,ASML (BDR: ASML34),14.12,S,2.0,C,4.0,Forte,1565.81,1402.23,1247.6,1136.0,3425685509.43,False,0.0,False,0.0,True,0.75,False,0.0,True,0.8,True,False,1.34,1595.31,False,False,False,False,False,True,False,52.236000000000004,51.48997,1365.5253,8
EUCA4,EUCATEX S.A. INDUSTRIA E COMERCIO,BR_STOCK,EUCA4,14.12,S,2.0,C,4.0,Forte,22.98,20.96,18.75,18.15,1599407.97,False,0.0,False,0.0,True,0.75,False,0.0,True,0.8,True,False,0.98,23.41,False,False,False,False,False,True,False,11.956,6.6416183,0.7650564,9
V1OD34,V1OD34,BDR,VOD (BDR: V1OD34),14.12,S,2.0,C,2.0,Fraco,16.32,15.19,13.74,13.13,62812284.27,False,0.0,False,0.0,True,0.75,False,0.0,True,0.8,True,False,0.76,16.23,False,False,False,False,False,True,False,-6.616,999.0,6.543527,10
ABEV3,AMBEV S.A.,BR_STOCK,ABEV3,14.12,S,2.0,C,4.0,Forte,16.25,15.34,14.06,13.53,320727875.0,False,0.0,False,0.0,True,0.75,False,0.0,True,0.8,True,False,0.58,17.04,False,False,False,False,False,True,False,17.251,16.41414,2.8863232,11
IBKR34,IBKR34,BDR,IBKR (BDR: IBKR34),14.1,S,2.0,C,3.0,OK,84.91,73.09,70.58,68.99,259075110.6,False,0.0,False,0.0,True,0.6,False,0.0,True,1.0,True,False,0.71,87.37,False,False,False,False,False,True,False,23.56,36.442062,6.7722125,12
TTEN3,TRÊS TENTOS AGROINDUSTRIAL S/A,BR_STOCK,TTEN3,14.1,S,0.5,C,3.0,OK,16.8,16.02,15.71,15.24,21110879.04,False,0.0,False,0.0,True,0.6,False,0.0,True,1.0,True,False,0.77,17.24,False,False,False,False,False,False,False,18.494,10.434782,1.7874241,13
I1HG34,I1HG34,BDR,IHG (BDR: I1HG34),14.1,S,2.0,C,2.0,Fraco,148.23,137.29,134.54,130.67,22179802.49,False,0.0,False,0.0,True,0.6,False,0.0,True,1.0,True,False,0.76,151.18,False,False,False,False,False,True,False,0.0,30.499998,-48.828514,14
E1TN34,E1TN34,BDR,ETN (BDR: E1TN34),14.07,S,2.0,C,2.0,Fraco,419.0,382.71,361.86,361.45,1555353559.0,False,0.0,False,0.0,True,0.7,False,0.0,True,0.85,True,False,1.16,434.23,False,False,False,False,False,True,False,20.844999,40.91797,8.2478695,15
ABUD34,ABUD34,BDR,BUD (BDR: ABUD34),14.07,S,2.0,C,3.0,OK,79.86,72.46,67.67,65.75,112866059.0,False,0.0,False,0.0,True,0.7,False,0.0,True,0.85,True,False,0.58,81.7,False,False,False,False,False,True,False,0.0,22.121885,10.687308,16
W1EL34,W1EL34,BDR,WELL (BDR: W1EL34),13.95,S,2.0,C,3.0,OK,214.84,206.93,195.11,187.95,318511036.57,False,0.0,False,0.0,True,0.7,False,0.0,True,0.8,True,False,0.5,219.59,False,False,False,False,False,True,False,3.665,104.29126,3.5518374,17
IGTI3,IGUATEMI S.A.,BR_STOCK,IGTI3,13.95,S,2.0,C,4.0,Forte,3.48,3.26,3.09,2.98,496596.0,False,0.0,False,0.0,True,0.7,False,0.0,True,0.8,True,False,2.15,3.53,False,False,False,False,False,True,False,15.360999999999999,6.0,0.22196709,18
CPRL34,CPRL34,BDR,CP (BDR: CPRL34),13.95,S,1.76,C,1.0,Fraco,84.77,82.4,77.4,76.77,230931865.94,False,0.0,False,0.0,True,0.7,False,0.0,True,0.8,True,False,0.8,88.08,True,False,False,False,False,False,False,8.428001,25.765957,2.2290173,19
GGBR3,GERDAU S.A.,BR_STOCK,GGBR3,13.9,S,2.0,C,2.0,Fraco,20.54,17.8,17.26,16.59,696306.03,False,0.0,False,0.0,True,0.65,False,0.0,True,0.85,True,False,0.63,21.1,False,False,False,False,False,True,False,3.066,24.74699,0.7657893,20
TSMC34,TSMC34,BDR,TSM (BDR: TSMC34),13.88,S,2.0,C,4.0,Forte,404.54,363.66,329.54,309.34,5909194385.58,False,0.0,False,0.0,True,0.75,False,0.0,True,0.7,True,False,1.05,420.0,False,False,False,False,False,True,False,36.21,34.605648,61.88131,21
GOAU3,METALURGICA GERDAU S.A.,BR_STOCK,GOAU3,13.72,S,0.5,C,1.0,Fraco,9.73,8.72,8.5,8.08,457309.98,False,0.0,False,0.0,True,0.6,False,0.0,True,0.85,True,False,0.75,9.98,False,False,False,False,False,False,False,3.0550001,22.113636,0.6738227,22
GGBR4,GERDAU S.A.,BR_STOCK,GGBR4,13.72,S,2.0,C,2.0,Fraco,23.7,20.31,19.99,19.07,146290624.71,False,0.0,False,0.0,True,0.6,False,0.0,True,0.85,True,False,0.51,24.61,False,False,False,False,False,True,False,3.066,28.554218,0.88360304,23
E2XE34,E2XE34,BDR,EXEL (BDR: E2XE34),13.68,S,2.0,C,5.0,Forte,49.71,43.61,42.75,41.75,179336278.2,True,0.69,False,0.0,True,0.6,False,0.0,False,0.0,True,False,1.17,48.92,False,False,False,False,False,True,False,40.987,16.460264,6.037163,24
SIMN34,SIMN34,BDR,SPG (BDR: SIMN34),13.6,S,2.0,C,4.0,Forte,201.0,195.28,186.57,182.7,345632565.0,False,0.0,False,0.0,True,0.6,False,0.0,True,0.8,True,False,1.47,208.28,False,False,False,False,False,True,False,104.10900000000001,14.184897,12.649465,25
MSBR34,MSBR34,BDR,MS (BDR: MSBR34),13.6,S,2.0,C,4.0,Forte,191.1,173.63,171.43,165.47,1007128945.87,False,0.0,False,0.0,True,0.6,False,0.0,True,0.8,True,False,1.05,194.83,False,False,False,False,False,True,False,16.387999999999998,17.309784,2.8876667,26
GSGI34,GSGI34,BDR,GS (BDR: GSGI34),13.6,S,2.0,C,3.0,OK,944.86,873.36,861.48,832.38,1415415375.82,False,0.0,False,0.0,True,0.6,False,0.0,True,0.8,True,False,0.9,952.01,False,False,False,False,False,True,False,14.548,17.248266,2.6520822,27
EPOL39,ISHARES MSCI POLAND ETF,BDR,EPOL (BDR: EPOL39),13.57,S,2.0,C,1.0,Fraco,39.71,37.36,35.57,34.55,44212239.36,False,0.0,False,0.0,True,0.7,False,0.0,True,0.65,True,False,3.05,40.94,False,False,False,False,False,True,False,0.0,12.782968,999.0,28
J1CI34,J1CI34,BDR,JCI (BDR: J1CI34),13.57,S,2.0,C,3.0,OK,141.78,137.5,125.29,120.6,318445249.82,False,0.0,False,0.0,True,0.7,False,0.0,True,0.65,True,False,0.62,147.32,False,False,False,False,False,True,False,13.449,43.4908,6.3991694,29
BONY34,BONY34,BDR,BK (BDR: BONY34),13.57,S,2.0,C,3.0,OK,132.49,124.38,117.21,113.69,471411761.12,False,0.0,False,0.0,True,0.7,False,0.0,True,0.65,True,False,0.96,138.6,False,False,False,False,False,True,False,13.472000000000001,16.437965,2.3050559,30
M2AS34,M2AS34,BDR,MASI (BDR: M2AS34),13.47,S,2.0,C,3.0,OK,178.5,177.6,155.33,153.31,147102385.5,True,0.45,False,0.0,True,0.75,False,0.0,False,0.0,True,False,0.9,178.76,False,False,False,False,False,True,False,24.987000000000002,44.074074,12.894604,31
ICRI11,ICRI11,ETF,ICRI11,13.28,S,2.0,C,1.0,Fraco,98.85,96.74,88.9,87.67,470624.84,True,0.44,False,0.0,True,0.7,False,0.0,False,0.0,True,False,0.54,100.5,False,False,False,False,False,True,False,0.0,6.6386833,999.0,32
BRFT11,BRFT11,ETF,BRFT11,13.26,S,2.0,C,0.0,Fraco,88.53,86.9,82.06,80.06,54091.83,True,0.44,False,0.0,True,0.7,False,0.0,False,0.0,True,False,0.61,91.05,False,False,False,False,False,True,False,0.0,999.0,999.0,33
D1OM34,D1OM34,BDR,D (BDR: D1OM34),13.25,S,0.5,C,2.0,Fraco,62.56,62.36,60.68,60.14,347613834.35,False,0.0,False,0.0,True,0.5,False,0.0,True,0.8,True,False,1.09,65.61,False,False,False,False,False,False,False,9.786999999999999,18.454277,1.9575081,34
FLMA11,FLMA11,ETF,FLMA11,13.25,S,0.5,C,0.0,Fraco,155.73,152.58,148.51,143.4,78955.11,False,0.0,False,0.0,True,0.5,False,0.0,True,0.8,True,False,1.49,163.5,False,False,False,False,False,False,False,0.0,999.0,999.0,35
